NameID,XFMR_KVA_RATING,PRIMARY_VOLTAGE,CLASSIFICATION,PCB,PHASE,NO_CUSTOMERS,INSTALLATION_DATE,YEAR,MONTH,YEAR_RANGE,LOWER_VOLTAGE,UPPER_VOLTAGE
TX2114,100.0,16kV,Pole,NO,B,32,2020-04-27 05:27:00,2020,4,2020 - 2023,16.0,
TX1030,100.0,16kV,Submersible,NO,B,28,2019-11-06 02:16:00,2019,11,2016 - 2019,16.0,
TX2460,167.0,16kV,Submersible,NO,W,49,2019-11-28 03:02:00,2019,11,2016 - 2019,16.0,
TX1664,100.0,8kV,Submersible,NO,B,50,2019-11-28 05:09:00,2019,11,2016 - 2019,8.0,
TX1839,100.0,8kV,Submersible,NO,W,50,2019-11-28 05:09:00,2019,11,2016 - 2019,8.0,
TX1127,100.0,16kV,Submersible,NO,B,35,2019-05-09 05:34:00,2019,5,2016 - 2019,16.0,
TX1905,100.0,16kV,Submersible,NO,R,21,2020-09-12 06:00:00,2020,9,2020 - 2023,16.0,
TX2001,167.0,16kV,Submersible,NO,W,51,2020-02-05 06:08:00,2020,2,2020 - 2023,16.0,
TX1267,100.0,16kV,Submersible,NO,R,55,2020-03-05 13:45:00,2020,3,2020 - 2023,16.0,
TX1394,167.0,16kV,Submersible,NO,R,24,2020-03-11 13:26:00,2020,3,2020 - 2023,16.0,
TX1916,100.0,16kV,Submersible,NO,B,27,2021-09-02 08:31:00,2021,9,2020 - 2023,16.0,
TX1740,100.0,16kV,Submersible,NO,B,38,2021-07-13 08:32:00,2021,7,2020 - 2023,16.0,
TX1457,167.0,16kV,Submersible,NO,B,38,2019-12-12 15:35:00,2019,12,2016 - 2019,16.0,
TX2330,100.0,16kV,Submersible,NO,R,33,2020-07-07 02:01:00,2020,7,2020 - 2023,16.0,
TX2262,50.0,16kV,Building Vault,NO,W,53,2020-02-03 12:02:00,2020,2,2020 - 2023,16.0,
TX1731,100.0,16kV,Submersible,NO,W,15,2020-07-16 12:29:00,2020,7,2020 - 2023,16.0,
TX1493,100.0,16kV,Submersible,NO,B,31,2020-05-07 14:07:00,2020,5,2020 - 2023,16.0,
TX2345,100.0,2.4kV,Pole,NO,B,52,2020-05-21 11:45:00,2020,5,2020 - 2023,2.4,
TX2340,100.0,16kV,Submersible,NO,R,51,2020-06-05 02:09:00,2020,6,2020 - 2023,16.0,
TX1128,333.0,16kV,Submersible,NO,B,23,2020-04-29 03:19:00,2020,4,2020 - 2023,16.0,
TX2002,100.0,16kV,Submersible,NO,B,37,2020-06-09 10:35:00,2020,6,2020 - 2023,16.0,
TX1186,500.0,27.6/16kV,Pad,NO,RWB,39,2021-01-20 02:46:00,2021,1,2020 - 2023,27.6,16.0
TX1362,50.0,16kV,Pole,NO,W,19,2021-06-22 08:02:00,2021,6,2020 - 2023,16.0,
TX1541,167.0,16kV,Pole,NO,R,21,2020-09-15 11:47:00,2020,9,2020 - 2023,16.0,
TX1596,100.0,16kV,Submersible,NO,W,29,2020-06-10 09:44:00,2020,6,2020 - 2023,16.0,
TX1840,100.0,2.4kV,Submersible,NO,B,20,2020-03-04 11:22:00,2020,3,2020 - 2023,2.4,
TX1343,100.0,16kV,Submersible,NO,W,40,2020-06-24 12:15:00,2020,6,2020 - 2023,16.0,
TX1542,150.0,27.6/16kV,Pad,YES,RWB,31,2021-06-05 02:27:00,2021,6,2020 - 2023,27.6,16.0
TX2126,100.0,16kV,Pad,YES,B,37,2021-07-28 01:48:00,2021,7,2020 - 2023,16.0,
TX1903,100.0,16kV,Submersible,NO,R,15,2020-07-03 09:30:00,2020,7,2020 - 2023,16.0,
TX1529,100.0,8kV,Submersible,NO,R,15,2020-07-29 03:40:00,2020,7,2020 - 2023,8.0,
TX1732,50.0,16kV,Submersible,NO,B,60,2020-08-19 10:51:00,2020,8,2020 - 2023,16.0,
TX1345,250.0,16kV,Building Vault,YES,B,45,2020-10-29 11:57:00,2020,10,2020 - 2023,16.0,
TX1557,1500.0,27.6/16kV,Pad,YES,RWB,36,2021-02-18 05:01:00,2021,2,2020 - 2023,27.6,16.0
TX2337,100.0,16kV,Submersible,NO,R,28,2020-09-14 04:12:00,2020,9,2020 - 2023,16.0,
TX2148,167.0,16kV,Pole,NO,R,32,2021-12-06 03:17:00,2021,12,2020 - 2023,16.0,
TX2113,100.0,16kV,Submersible,YES,B,28,2020-09-15 09:01:00,2020,9,2020 - 2023,16.0,
TX1354,100.0,16kV,Submersible,NO,R,54,2021-09-24 08:22:00,2021,9,2020 - 2023,16.0,
TX1544,100.0,16kV,Submersible,NO,R,56,2021-09-08 08:39:00,2021,9,2020 - 2023,16.0,
TX1173,500.0,4.16/2.4kV,Pad,NO,RWB,56,2021-04-18 10:53:00,2021,4,2020 - 2023,4.16,2.4
TX1539,100.0,16kV,Submersible,NO,B,49,2021-06-04 06:38:00,2021,6,2020 - 2023,16.0,
TX1364,167.0,16kV,Pole,NO,W,27,2021-01-05 07:08:00,2021,1,2020 - 2023,16.0,
TX1339,250.0,16kV,Submersible,NO,W,57,2020-10-03 14:40:00,2020,10,2020 - 2023,16.0,
TX2333,100.0,16kV,Submersible,NO,W,33,2020-07-23 13:20:00,2020,7,2020 - 2023,16.0,
TX1349,100.0,16kV,Submersible,NO,W,33,2020-12-02 05:23:00,2020,12,2020 - 2023,16.0,
TX1910,100.0,8kV,Submersible,NO,B,41,2020-12-06 03:23:00,2020,12,2020 - 2023,8.0,
TX1928,167.0,16kV,Pole,YES,B,52,2021-03-11 01:59:00,2021,3,2020 - 2023,16.0,
TX1736,50.0,16kV,Submersible,YES,R,29,2019-10-26 15:47:00,2019,10,2016 - 2019,16.0,
TX1352,167.0,16kV,Submersible,YES,B,46,2021-01-27 11:30:00,2021,1,2020 - 2023,16.0,
TX1747,100.0,16kV,Pole,NO,B,32,2021-03-29 01:34:00,2021,3,2020 - 2023,16.0,
TX1927,100.0,16kV,Pole,NO,W,50,2021-03-29 01:31:00,2021,3,2020 - 2023,16.0,
TX1925,167.0,16kV,Submersible,NO,R,56,2021-07-27 05:24:00,2021,7,2020 - 2023,16.0,
TX1921,100.0,16kV,Submersible,NO,R,35,2021-08-25 10:12:00,2021,8,2020 - 2023,16.0,
TX1741,150.0,27.6/16kV,Pad,YES,RWB,47,2021-10-27 10:36:00,2021,10,2020 - 2023,27.6,16.0
TX1535,333.0,16kV,Building Vault,NO,W,41,2020-12-06 11:03:00,2020,12,2020 - 2023,16.0,
TX1924,750.0,27.6/16kV,Pad,NO,RWB,35,2021-08-06 04:42:00,2021,8,2020 - 2023,27.6,16.0
TX1746,1500.0,27.6/16kV,Pad,NO,RWB,16,2022-03-16 01:34:00,2022,3,2020 - 2023,27.6,16.0
TX1350,100.0,16kV,Submersible,NO,W,59,2020-06-09 13:54:00,2020,6,2020 - 2023,16.0,
TX1170,100.0,16kV,Submersible,YES,W,37,2021-03-30 07:41:00,2021,3,2020 - 2023,16.0,
